Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pu5TSW_54670067_uff_E=210.38,-4.4,0,0
pu5TSW_8468_uff_E=85.03,-4.8,15.244,13.849
pu5TSW_8468_uff_E=85.03,-4.7,4.248,1.231
pu5TSW_8468_uff_E=85.03,-4.6,13.381,11.29
pu5TSW_8468_uff_E=85.03,-4.3,15.485,14.412
pu5TSW_8468_uff_E=85.03,-4.3,13.396,11.454
pu5TSW_8468_uff_E=85.03,-4.3,17.832,16.24
pu5TSW_8468_uff_E=85.03,-4.2,14.948,13.945
pu5TSW_8468_uff_E=85.03,-4.2,29.314,27.503
pu5TSW_10742_uff_E=837.74,-4.6,0,0
pu5TSW_10742_uff_E=837.74,-4.5,3.475,0.243
pu5TSW_10742_uff_E=837.74,-4.4,18.804,17.203
pu5TSW_10742_uff_E=837.74,-4.3,25.417,22.592
pu5TSW_10742_uff_E=837.74,-4.3,12.457,11.368
pu5TSW_10742_uff_E=837.74,-4.2,18.591,17.575
pu5TSW_10742_uff_E=837.74,-4.2,19.234,17.872
pu5TSW_10742_uff_E=837.74,-4.2,4.099,1.391
pu5TSW_10742_uff_E=837.74,-4.2,12.765,11.439
pu5TSW_8468_uff_E=85.03,-4.8,0,0
pu5TSW_5280443_uff_E=189.86,-5.9,12.553,10.992
pu5TSW_5280443_uff_E=189.86,-5.9,21.914,19.707
pu5TSW_5280443_uff_E=189.86,-5.9,23.76,22.328
pu5TSW_5280443_uff_E=189.86,-5.9,18.051,16.56
pu5TSW_5280443_uff_E=189.86,-5.9,13.104,12.291
pu5TSW_5280443_uff_E=189.86,-5.8,18.731,16.972
pu5TSW_5280443_uff_E=189.86,-5.7,18.639,16.686
pu5TSW_5280443_uff_E=189.86,-5.7,18.04,16.502
pu5TSW_5281702_uff_E=235.77,-6,0,0
pu5TSW_5281702_uff_E=235.77,-6,2.663,0.075
pu5TSW_5281702_uff_E=235.77,-5.9,25.055,21.303
pu5TSW_5281702_uff_E=235.77,-5.9,21.572,17.571
pu5TSW_5281702_uff_E=235.77,-5.9,27.245,22.126
pu5TSW_5281702_uff_E=235.77,-5.9,26.579,22.575
pu5TSW_5281702_uff_E=235.77,-5.8,27.35,22.064
pu5TSW_5281702_uff_E=235.77,-5.8,26.627,22.211
pu5TSW_5281702_uff_E=235.77,-5.8,25.832,22.285
pu5TSW_5280443_uff_E=189.86,-6.2,0,0
pu5TSW_54670067_uff_E=210.38,-4.3,11.258,10.525
pu5TSW_54670067_uff_E=210.38,-4.3,19.992,18.399
pu5TSW_54670067_uff_E=210.38,-4.3,18.742,17.184
pu5TSW_54670067_uff_E=210.38,-4.2,16.165,14.745
pu5TSW_54670067_uff_E=210.38,-4.2,19.421,18.415
pu5TSW_54670067_uff_E=210.38,-4.2,17.513,15.842
pu5TSW_54670067_uff_E=210.38,-4.2,18.941,17.368
pu5TSW_54670067_uff_E=210.38,-4.2,17.319,15.719
